Comp;Banco;Site
1;Banco do Brasil S.A.;www.bb.com.br
3;Banco da Amazônia S.A.;www.bancoamazonia.com.br
4;Banco do Nordeste do Brasil S.A.;www.banconordeste.gov.br
7;Banco Nacional de Desenvolvimento Econômico e Social - BNDES;www.bndes.gov.br
12;Banco Inbursa S.A.;www.bancoinbursa.com
14;State Street Brasil S.A. - Banco Comercial;www.statestreet.com
21;BANESTES S.A. Banco do Estado do Espírito Santo;www.banestes.com.br
24;Banco BANDEPE S.A.;www.santander.com.br
29;Banco Itaú Consignado S.A.;
33;Banco Santander  (Brasil)  S.A.;www.santander.com.br
36;Banco Bradesco BBI S.A.;Não possui site
37;Banco do Estado do Pará S.A.;www.banpara.b.br
40;Banco Cargill S.A.;www.bancocargill.com.br
41;Banco do Estado do Rio Grande do Sul S.A.;www.banrisul.com.br
47;Banco do Estado de Sergipe S.A.;www.banese.com.br
62;Hipercard Banco Múltiplo S.A.;www.hipercard.com.br
63;Banco Bradescard S.A.;www.ibi.com.br
65;Banco Andbank (Brasil) S.A.;www.andbank-lla.com.br
66;Banco Morgan Stanley S.A.;
70;BRB - Banco de Brasília S.A.;www.brb.com.br
74;Banco J. Safra S.A.;www.safra.com.br
77;Banco Inter S.A.;www.bancointer.com.br
82;Banco Topázio S.A.;www.bancotopazio.com.br
83;Banco da China Brasil S.A.;www.boc-brazil.com
94;Banco Finaxis S.A.;www.bancofinaxis.com.br
95;Travelex Banco de Câmbio S.A.;www.bancoconfidence.com.br
96;Banco B3 S.A.;www.bmfbovespa.com.br/bancobmfbovespa/
104;Caixa Econômica Federal;www.caixa.gov.br
107;Banco BOCOM BBM S.A.;www.bancobbm.com.br
119;Banco Western Union do Brasil S.A.;www.bancowesternunion.com.br
120;Banco Rodobens S.A.;www.rodobens.com.br
121;Banco Agibank S.A.;www.agibank.com.br
125;Banco Genial S.A.;www.bancogenial.com
128;Braza Bank S.A. Banco de Câmbio;www.msbank.com.br
129;UBS Brasil Banco de Investimento S.A.;www.ubs.com
144;Ebury Banco de Câmbio S.A.;www.bexs.com.br
184;Banco Itaú BBA S.A.;www.itaubba.com.br
208;Banco BTG Pactual S.A.;www.btgpactual.com
212;Banco Original S.A.;www.original.com.br
217;Banco John Deere S.A.;www.johndeere.com.br
218;Banco BS2 S.A.;www.bs2.com/banco/
222;Banco Credit Agricole Brasil S.A.;www.calyon.com.br
224;Banco Fibra S.A.;www.bancofibra.com.br
233;Banco Cifra S.A.;www.bancocifra.com.br
237;Banco Bradesco S.A.;www.bradesco.com.br
243;Banco Master S.A.;www.bancomaster.com.br
246;Banco ABC Brasil S.A.;www.abcbrasil.com.br
249;Banco Investcred Unibanco S.A.;Não possui site
250;BCV - Banco de Crédito e Varejo S.A.;www.bancobcv.com.br
254;Paraná Banco S.A.;www.paranabanco.com.br
269;Banco HSBC S.A.;
276;Banco Senff S.A.;https://www.senff.com.br/
299;Banco Afinz S.A. Banco Múltiplo;afinz.com.br
318;Banco BMG S.A.;www.bancobmg.com.br
320;China Construction Bank (Brasil) Banco Múltiplo S.A.;www.br.ccb.com
341;Itaú Unibanco S.A.;www.itau.com.br
348;Banco XP S.A.;
366;Banco Société Générale Brasil S.A.;www.sgbrasil.com.br
370;Banco Mizuho do Brasil S.A.;www.mizuhobank.com/brazil/pt/
376;Banco J. P. Morgan S.A.;www.jpmorgan.com
389;Banco Mercantil do Brasil S.A.;www.mercantil.com.br
394;Banco Bradesco Financiamentos S.A.;não tem site
399;Kirton Bank S.A. - Banco Múltiplo;
422;Banco Safra S.A.;www.safra.com.br
456;Banco MUFG Brasil S.A.;www.br.bk.mufg.jp
464;Banco Sumitomo Mitsui Brasileiro S.A.;www.smbcgroup.com.br
473;Banco Caixa Geral - Brasil S.A.;www.bcgbrasil.com.br
477;Citibank N.A.;www.citibank.com
479;Banco ItauBank S.A;www.itaubank.com.br
487;Deutsche Bank S.A. - Banco Alemão;www.deutsche-bank.com.br
488;JPMorgan Chase Bank, National Association;www.jpmorganchase.com
505;Banco Credit Suisse (Brasil) S.A.;www.csfb.com
600;Banco Luso Brasileiro S.A.;www.lusobrasileiro.com.br
604;Banco Industrial do Brasil S.A.;www.bancoindustrial.com.br
610;Banco VR S.A.;www.vrinvestimentos.com.br
611;Banco Paulista S.A.;www.bancopaulista.com.br
612;Banco Guanabara S.A.;www.bancoguanabara.com.br
623;Banco PAN S.A.;www.bancopan.com.br
626;Banco C6 Consignado S.A.;https://www.c6consig.com.br/
630;Banco Letsbank S.A.;www.letsbank.com.br
633;Banco Rendimento S.A.;www.rendimento.com.br
634;Banco Triângulo S.A.;www.tribanco.com.br
643;Banco Pine S.A.;www.pine.com
653;Banco Voiter S.A.;www.voiter.com
654;Banco Digimais S.A.;www.bancodigimais.com.br/
655;Banco Votorantim S.A.;www.bancovotorantim.com.br
707;Banco Daycoval S.A.;www.daycoval.com.br
712;Banco Ourinvest S.A.;www.ourinvest.com.br
743;Banco Semear S.A.;www.bancosemear.com.br
745;Banco Citibank S.A.;www.citibank.com.br
746;Banco Modal S.A.;www.bancomodal.com.br
747;Banco Rabobank International Brasil S.A.;www.rabobank.com.br
748;Banco Cooperativo Sicredi S.A.;www.sicredi.com.br
751;Scotiabank Brasil S.A. Banco Múltiplo;www.br.scotiabank.com
752;Banco BNP Paribas Brasil S.A.;www.bnpparibas.com.br
755;Bank of America Merrill Lynch Banco Múltiplo S.A.;www.ml.com
756;Banco Cooperativo Sicoob S.A.;www.Sicoob.com.br
;Banco C6 S.A.;https://www.c6bank.com/
;Banco CNH Industrial Capital S.A.;www.cnhindustrialcapital.com
;Banco CSF S.A.;
;Banco de Lage Landen Brasil S.A.;www.dllgroup.com
;Banco Digio S.A.;www.aebb.com.br
;Banco Fidis S.A.;www.bancofidis.com.br
;Banco GM S.A.;www.chevroletsf.com.br
;Banco IBM S.A.;www.ibm.com/financing/br
